25, 2.00, 0.50, 2.11, 5.61, 7.72, 334697.00, 142750.00
25, 2.00, 1.25, 2.21, 5.62, 7.82, 368241.00, 158850.00
25, 2.00, 2.00, 2.23, 5.63, 7.85, 376635.00, 162920.00
25, 2.00, 2.75, 2.24, 5.62, 7.86, 380587.00, 164813.00
25, 2.00, 3.50, 2.25, 5.62, 7.87, 382809.00, 165886.00
25, 2.00, 4.25, 2.25, 5.62, 7.87, 384347.00, 166629.00
25, 2.00, 5.00, 2.26, 5.63, 7.89, 385459.00, 167160.00
25, 2.00, 5.75, 2.26, 5.63, 7.89, 386237.00, 167535.00
25, 2.00, 6.50, 2.26, 5.62, 7.88, 386733.00, 167773.00
25, 2.00, 7.25, 2.25, 5.62, 7.87, 387291.00, 168036.00
25, 2.00, 8.00, 2.26, 5.63, 7.88, 387667.00, 168215.00
25, 2.00, 8.75, 2.26, 5.63, 7.89, 387953.00, 168352.00
25, 2.00, 9.50, 2.26, 5.62, 7.88, 388297.00, 168518.00
25, 2.75, 0.50, 2.05, 5.62, 7.67, 312753.00, 132931.00
25, 2.75, 1.25, 2.18, 5.62, 7.80, 360057.00, 154898.00
25, 2.75, 2.00, 2.22, 5.63, 7.85, 371513.00, 160432.00
25, 2.75, 2.75, 2.22, 5.63, 7.86, 376599.00, 162902.00
25, 2.75, 4.25, 2.27, 5.63, 7.90, 381717.00, 165363.00
25, 2.75, 5.00, 2.25, 5.63, 7.88, 383115.00, 166039.00
25, 2.75, 5.75, 2.25, 5.64, 7.89, 384191.00, 166554.00
25, 2.75, 6.50, 2.27, 5.63, 7.90, 384987.00, 166931.00
25, 2.75, 7.25, 2.26, 5.62, 7.88, 385755.00, 167296.00
25, 2.75, 8.00, 2.27, 5.62, 7.89, 386333.00, 167577.00
25, 2.75, 8.75, 2.27, 5.63, 7.90, 386761.00, 167783.00
25, 2.75, 9.50, 2.26, 5.62, 7.88, 387087.00, 167944.00
25, 3.50, 0.50, 2.00, 5.62, 7.62, 292215.00, 123728.00
25, 3.50, 1.25, 2.16, 5.61, 7.77, 351319.00, 150724.00
